DescrRegione,MacroRegione,Year,Count,Occupati,PercentageOccupati,SummarisedCount
Abruzzo,Sud,2018.000000,30.000000,493923.000000,0.000061,Low (11-50)
Abruzzo,Sud,2019.000000,35.000000,492615.000000,0.000071,Low (11-50)
Abruzzo,Sud,2020.000000,46.000000,475361.000000,0.000097,Low (11-50)
Abruzzo,Sud,2021.000000,46.000000,484387.000000,0.000095,Low (11-50)
Abruzzo,Sud,2022.000000,25.000000,482849.000000,0.000052,Low (11-50)
Abruzzo,Sud,2023.000000,11.000000,502116.000000,0.000022,Low (11-50)
Basilicata,Sud,2018.000000,24.000000,185328.000000,0.000130,Low (11-50)
Basilicata,Sud,2019.000000,21.000000,187581.000000,0.000112,Low (11-50)
Basilicata,Sud,2020.000000,10.000000,183695.000000,0.000054,Very low (1-10)
Basilicata,Sud,2021.000000,25.000000,189066.000000,0.000132,Low (11-50)
Basilicata,Sud,2022.000000,13.000000,188761.000000,0.000069,Low (11-50)
Basilicata,Sud,2023.000000,10.000000,194175.000000,0.000005,Very low (1-10)
Calabria,Sud,2018.000000,52.000000,540555.000000,0.000096,Moderate (51-100)
Calabria,Sud,2019.000000,38.000000,538640.000000,0.000071,Low (11-50)
Calabria,Sud,2020.000000,49.000000,513834.000000,0.000095,Low (11-50)
Calabria,Sud,2021.000000,27.000000,520963.000000,0.000052,Low (11-50)
Calabria,Sud,2022.000000,34.000000,528974.000000,0.000064,Low (11-50)
Calabria,Sud,2023.000000,10.000000,539183.000000,0.000007,Very low (1-10)
Campania,Sud,2018.000000,109.000000,1640948.000000,0.000066,High (101-500)
Campania,Sud,2019.000000,97.000000,1625581.000000,0.000060,Moderate (51-100)
Campania,Sud,2020.000000,186.000000,1569819.000000,0.000118,High (101-500)
Campania,Sud,2021.000000,148.000000,1592095.000000,0.000093,High (101-500)
Campania,Sud,2022.000000,108.000000,1641300.000000,0.000066,High (101-500)
Campania,Sud,2023.000000,29.000000,1683953.000000,0.000017,Low (11-50)
Emilia Romagna,NordEst,2018.000000,125.000000,1996335.000000,0.000063,High (101-500)
Emilia Romagna,NordEst,2019.000000,115.000000,2026012.000000,0.000057,High (101-500)
Emilia Romagna,NordEst,2020.000000,148.000000,1966238.000000,0.000075,High (101-500)
Emilia Romagna,NordEst,2021.000000,125.000000,1978443.000000,0.000063,High (101-500)
Emilia Romagna,NordEst,2022.000000,103.000000,2001272.000000,0.000051,High (101-500)
Emilia Romagna,NordEst,2023.000000,24.000000,2023150.000000,0.000012,Low (11-50)
Friuli Venezia Giulia,NordEst,2018.000000,29.000000,507129.000000,0.000057,Low (11-50)
Friuli Venezia Giulia,NordEst,2019.000000,21.000000,508166.000000,0.000041,Low (11-50)
Friuli Venezia Giulia,NordEst,2020.000000,28.000000,506216.000000,0.000055,Low (11-50)
Friuli Venezia Giulia,NordEst,2021.000000,38.000000,510300.000000,0.000074,Low (11-50)
Friuli Venezia Giulia,NordEst,2022.000000,13.000000,520517.000000,0.000025,Low (11-50)
Friuli Venezia Giulia,NordEst,2023.000000,10.000000,519916.000000,0.000019,Very low (1-10)
Lazio,Centro,2018.000000,106.000000,2324973.000000,0.000046,High (101-500)
Lazio,Centro,2019.000000,114.000000,2333459.000000,0.000049,High (101-500)
Lazio,Centro,2020.000000,157.000000,2258785.000000,0.000070,High (101-500)
Lazio,Centro,2021.000000,132.000000,2265747.000000,0.000058,High (101-500)
Lazio,Centro,2022.000000,116.000000,2320883.000000,0.000050,High (101-500)
Lazio,Centro,2023.000000,35.000000,2375406.000000,0.000015,Low (11-50)
Liguria,NordOvest,2018.000000,46.000000,601566.000000,0.000076,Low (11-50)
Liguria,NordOvest,2019.000000,26.000000,601748.000000,0.000043,Low (11-50)
Liguria,NordOvest,2020.000000,60.000000,579517.000000,0.000104,Moderate (51-100)
Liguria,NordOvest,2021.000000,42.000000,594600.000000,0.000071,Low (11-50)
Liguria,NordOvest,2022.000000,28.000000,616116.000000,0.000045,Low (11-50)
Liguria,NordOvest,2023.000000,10.000000,633017.000000,0.000016,Very low (1-10)
Lombardia,NordOvest,2018.000000,193.000000,4393446.000000,0.000044,High (101-500)
Lombardia,NordOvest,2019.000000,193.000000,4451020.000000,0.000043,High (101-500)
Lombardia,NordOvest,2020.000000,344.000000,4315137.000000,0.000080,High (101-500)
Lombardia,NordOvest,2021.000000,201.000000,4332517.000000,0.000046,High (101-500)
Lombardia,NordOvest,2022.000000,199.000000,4424396.000000,0.000045,High (101-500)
Lombardia,NordOvest,2023.000000,72.000000,4500716.000000,0.000016,Moderate (51-100)
Marche,Centro,2018.000000,24.000000,632187.000000,0.000038,Low (11-50)
Marche,Centro,2019.000000,36.000000,632493.000000,0.000057,Low (11-50)
Marche,Centro,2020.000000,54.000000,611817.000000,0.000088,Moderate (51-100)
Marche,Centro,2021.000000,36.000000,616562.000000,0.000058,Low (11-50)
Marche,Centro,2022.000000,38.000000,639261.000000,0.000059,Low (11-50)
Marche,Centro,2023.000000,10.000000,641107.000000,0.000014,Very low (1-10)
Molise,Sud,2018.000000,14.000000,105958.000000,0.000132,Low (11-50)
Molise,Sud,2019.000000,13.000000,108495.000000,0.000120,Low (11-50)
Molise,Sud,2020.000000,17.000000,103979.000000,0.000163,Low (11-50)
Molise,Sud,2021.000000,19.000000,100276.000000,0.000189,Low (11-50)
Molise,Sud,2022.000000,10.000000,103093.000000,0.000068,Very low (1-10)
Piemonte,NordOvest,2018.000000,108.000000,1815546.000000,0.000059,High (101-500)
Piemonte,NordOvest,2019.000000,105.000000,1812535.000000,0.000058,High (101-500)
Piemonte,NordOvest,2020.000000,145.000000,1748168.000000,0.000083,High (101-500)
Piemonte,NordOvest,2021.000000,119.000000,1767300.000000,0.000067,High (101-500)
Piemonte,NordOvest,2022.000000,99.000000,1785318.000000,0.000055,Moderate (51-100)
Piemonte,NordOvest,2023.000000,25.000000,1800861.000000,0.000014,Low (11-50)
Puglia,Sud,2018.000000,82.000000,1201700.000000,0.000068,Moderate (51-100)
Puglia,Sud,2019.000000,75.000000,1216063.000000,0.000062,Moderate (51-100)
Puglia,Sud,2020.000000,110.000000,1188112.000000,0.000093,High (101-500)
Puglia,Sud,2021.000000,103.000000,1206761.000000,0.000085,High (101-500)
Puglia,Sud,2022.000000,78.000000,1266627.000000,0.000062,Moderate (51-100)
Puglia,Sud,2023.000000,23.000000,1292646.000000,0.000018,Low (11-50)
Sicilia,Sud,2018.000000,76.000000,1342938.000000,0.000057,Moderate (51-100)
Sicilia,Sud,2019.000000,88.000000,1341533.000000,0.000066,Moderate (51-100)
Sicilia,Sud,2020.000000,105.000000,1305304.000000,0.000080,High (101-500)
Sicilia,Sud,2021.000000,83.000000,1310864.000000,0.000063,Moderate (51-100)
Sicilia,Sud,2022.000000,72.000000,1337017.000000,0.000054,Moderate (51-100)
Sicilia,Sud,2023.000000,24.000000,1410776.000000,0.000017,Low (11-50)
Toscana,Centro,2018.000000,90.000000,1578180.000000,0.000057,Moderate (51-100)
Toscana,Centro,2019.000000,76.000000,1584130.000000,0.000048,Moderate (51-100)
Toscana,Centro,2020.000000,81.000000,1544467.000000,0.000052,Moderate (51-100)
Toscana,Centro,2021.000000,76.000000,1546282.000000,0.000049,Moderate (51-100)
Toscana,Centro,2022.000000,86.000000,1617713.000000,0.000053,Moderate (51-100)
Toscana,Centro,2023.000000,19.000000,1628035.000000,0.000012,Low (11-50)
Trentino Alto Adige,NordEst,2018.000000,16.000000,496171.000000,0.000032,Low (11-50)
Trentino Alto Adige,NordEst,2019.000000,34.000000,500166.000000,0.000068,Low (11-50)
Trentino Alto Adige,NordEst,2020.000000,26.000000,486175.000000,0.000053,Low (11-50)
Trentino Alto Adige,NordEst,2021.000000,30.000000,487081.000000,0.000062,Low (11-50)
Trentino Alto Adige,NordEst,2022.000000,38.000000,506320.000000,0.000075,Low (11-50)
Trentino Alto Adige,NordEst,2023.000000,10.000000,507708.000000,0.000020,Very low (1-10)
Umbria,Centro,2018.000000,21.000000,349450.000000,0.000060,Low (11-50)
Umbria,Centro,2019.000000,19.000000,358279.000000,0.000053,Low (11-50)
Umbria,Centro,2020.000000,13.000000,348364.000000,0.000037,Low (11-50)
Umbria,Centro,2021.000000,28.000000,354249.000000,0.000079,Low (11-50)
Umbria,Centro,2022.000000,23.000000,352298.000000,0.000065,Low (11-50)
Umbria,Centro,2023.000000,11.000000,361596.000000,0.000030,Low (11-50)
Valle D'Aosta,NordOvest,2018.000000,10.000000,54777.000000,0.000018,Very low (1-10)
Valle D'Aosta,NordOvest,2019.000000,10.000000,55199.000000,0.000018,Very low (1-10)
Valle D'Aosta,NordOvest,2020.000000,10.000000,53103.000000,0.000038,Very low (1-10)
Valle D'Aosta,NordOvest,2021.000000,10.000000,52741.000000,0.000095,Very low (1-10)
Valle D'Aosta,NordOvest,2022.000000,10.000000,55164.000000,0.000127,Very low (1-10)
Valle D'Aosta,NordOvest,2023.000000,10.000000,56813.000000,0.000018,Very low (1-10)
Veneto,NordEst,2018.000000,125.000000,2123868.000000,0.000059,High (101-500)
Veneto,NordEst,2019.000000,109.000000,2153657.000000,0.000051,High (101-500)
Veneto,NordEst,2020.000000,108.000000,2075427.000000,0.000052,High (101-500)
Veneto,NordEst,2021.000000,119.000000,2080525.000000,0.000057,High (101-500)
Veneto,NordEst,2022.000000,129.000000,2145361.000000,0.000060,High (101-500)
Veneto,NordEst,2023.000000,33.000000,2225751.000000,0.000015,Low (11-50)
Total,Total,2018.000000,1271.000000,22958728.000000,0.000055,Extremely High (1001+)
Total,Total,2019.000000,1216.000000,23109405.000000,0.000053,Extremely High (1001+)
Total,Total,2020.000000,1689.000000,22385258.000000,0.000075,Extremely High (1001+)
Total,Total,2021.000000,1402.000000,22553956.000000,0.000062,Extremely High (1001+)
Total,Total,2022.000000,1216.000000,23099391.000000,0.000053,Extremely High (1001+)
Total,Total,2023.000000,351.000000,23579947.000000,0.000015,High (101-500)
