Year,DescrRegione,Genere,Occupati,MacroRegione,Count,Percentage,PercentageOccupati,SummarisedCount
2021,Liguria,F,263270,NordOvest,7539,0.00681691180060872,0.02863600106354693,Low (1001-10000)
2021,Liguria,M,331330,NordOvest,11653,0.010536871363906807,0.03517037394742402,Moderate (10001-50000)
2021,Lombardia,F,1905304,NordOvest,38727,0.03501771366257778,0.020325890251634383,Moderate (10001-50000)
2021,Lombardia,M,2427213,NordOvest,67137,0.06070659338870774,0.027660118827643063,High (50001-100000)
2021,Marche,F,267301,Centro,5988,0.005414467152413453,0.022401711927751856,Low (1001-10000)
2021,Marche,M,349261,Centro,10472,0.00946898797930422,0.029983307612358664,Moderate (10001-50000)
2021,Molise,F,37198,Sud,686,0.000620294667093458,0.018441851712457654,Very low (1-1000)
2021,Molise,M,63078,Sud,1050,0.00094943061289815,0.016646057262436984,Low (1001-10000)
2021,Piemonte,F,782823,NordOvest,17421,0.015752410197427312,0.022254072759742623,Moderate (10001-50000)
2021,Piemonte,M,984477,NordOvest,24426,0.02208646871490497,0.02481114337866705,Moderate (10001-50000)
2021,Puglia,F,437889,Sud,8507,0.007692196403737682,0.019427297785511846,Low (1001-10000)
2021,Puglia,M,768872,Sud,16338,0.014773140336695223,0.021249310678500454,Moderate (10001-50000)
2021,Sardegna,F,240946,0,0,0.0,0.0,No injuries
2021,Sardegna,M,322251,0,0,0.0,0.0,No injuries
2021,Sicilia,F,469661,Sud,8235,0.007446248664015494,0.017533923404327804,Low (1001-10000)
2021,Sicilia,M,841203,Sud,15917,0.014392463871904631,0.018921710930655266,Moderate (10001-50000)
2021,Toscana,F,694121,Centro,16606,0.015015471197892084,0.02392378274104947,Moderate (10001-50000)
2021,Toscana,M,852161,Centro,26967,0.0243840907981185,0.031645428504707446,Moderate (10001-50000)
2021,Total,F,9510352,Total,201451,0.1821559489513765,0.021182286418000087,Extremely High (200001+)
2021,Total,M,13043604,Total,351512,0.3178440510486235,0.026948993545035563,Extremely High (200001+)
2021,Trentino Alto Adige,F,218097,NordEst,6720,0.006076355922548163,0.030811978156508338,Low (1001-10000)
2021,Trentino Alto Adige,M,268984,NordEst,14910,0.013481914703153736,0.055430806293311125,Moderate (10001-50000)
2021,Umbria,F,158790,Centro,3251,0.0029396180214589403,0.02047358145978966,Low (1001-10000)
2021,Umbria,M,195459,Centro,5839,0.005279738427345049,0.02987327265564645,Low (1001-10000)
2021,Valle D'Aosta,F,24950,NordOvest,553,0.000500033456126359,0.02216432865731463,Very low (1-1000)
2021,Valle D'Aosta,M,27791,NordOvest,777,0.000702578653544631,0.02795869166276852,Very low (1-1000)
2021,Veneto,F,899756,NordEst,23804,0.02152404410421674,0.026456061421096383,Moderate (10001-50000)
2021,Veneto,M,1180769,NordEst,46731,0.04225508759175569,0.03957675040587956,Moderate (10001-50000)
2022,Abruzzo,F,195905,Sud,7105,0.005154571862204256,0.03626757867333657,Low (1001-10000)
2022,Abruzzo,M,286944,Sud,8709,0.006318250013784218,0.030350869856139176,Low (1001-10000)
2022,Basilicata,F,69983,Sud,1651,0.001197775952779623,0.023591443636311674,Low (1001-10000)
2022,Basilicata,M,118778,Sud,2631,0.0019087513820491761,0.022150566603243025,Low (1001-10000)
2022,Calabria,F,192999,Sud,3901,0.002830117499571963,0.02021253996134696,Low (1001-10000)
2022,Calabria,M,335975,Sud,6375,0.00462496771591163,0.01897462608825061,Low (1001-10000)
2022,Campania,F,579919,Sud,13730,0.009960910861092812,0.02367572022989417,Moderate (10001-50000)
2022,Campania,M,1061381,Sud,19693,0.014286978702658468,0.018554129007396968,Moderate (10001-50000)
2022,Emilia Romagna,F,898132,NordEst,30083,0.021824769223179538,0.03349507644756005,Moderate (10001-50000)
2022,Emilia Romagna,M,1103140,NordEst,51838,0.037607698267831696,0.046991315698823366,High (50001-100000)
2022,Friuli Venezia Giulia,F,230742,NordEst,6858,0.004975377034623052,0.029721507137842263,Low (1001-10000)
2022,Friuli Venezia Giulia,M,289775,NordEst,10029,0.007275890387902391,0.03460961090501251,Moderate (10001-50000)
2022,Lazio,F,1020342,Centro,24936,0.01809069724925057,0.0244388646159817,Moderate (10001-50000)
2022,Lazio,M,1300541,Centro,29475,0.02138367426297965,0.022663645359892536,Moderate (10001-50000)
2022,Liguria,F,266341,NordOvest,14115,0.01024022263687728,0.05299597132998675,Moderate (10001-50000)
2022,Liguria,M,349775,NordOvest,14209,0.010308418239276605,0.040623257808591245,Moderate (10001-50000)
2022,Lombardia,F,1927460,NordOvest,55907,0.04055969726956416,0.02900553059466864,High (50001-100000)
2022,Lombardia,M,2496936,NordOvest,76583,0.0555598278568879,0.03067079012037153,High (50001-100000)
2022,Marche,F,282538,Centro,7416,0.005380197738227553,0.026247796756542482,Low (1001-10000)
2022,Marche,M,356723,Centro,11482,0.008330020284564288,0.032187439553939615,Moderate (10001-50000)
2022,Molise,F,40793,Sud,998,0.000724034161643891,0.02446498173706273,Very low (1-1000)
2022,Molise,M,62300,Sud,1432,0.001038894708891836,0.022985553772070625,Low (1001-10000)
2022,Piemonte,F,797062,NordOvest,25407,0.018432400746379106,0.0318758139266456,Moderate (10001-50000)
2022,Piemonte,M,988256,NordOvest,29032,0.02106228434954454,0.029377003529449858,Moderate (10001-50000)
2022,Puglia,F,453082,Sud,10726,0.007781553524842062,0.023673418939617993,Moderate (10001-50000)
2022,Puglia,M,813545,Sud,18874,0.013692806379626056,0.023199700078053456,Moderate (10001-50000)
2022,Sardegna,F,238337,0,0,0.0,0.0,No injuries
2022,Sardegna,M,327814,0,0,0.0,0.0,No injuries
2022,Sicilia,F,482748,Sud,12604,0.009144014602564737,0.02610886010920812,Moderate (10001-50000)
2022,Sicilia,M,854269,Sud,20133,0.01460619216069786,0.02356751795979955,Moderate (10001-50000)
2022,Toscana,F,730298,Centro,22012,0.01596937872355244,0.030141120474107826,Moderate (10001-50000)
2022,Toscana,M,887415,Centro,31128,0.02258290118602309,0.03507716231977147,Moderate (10001-50000)
2022,Total,F,9749198,Total,282783,0.20515486205625702,0.029005770525944802,Extremely High (200001+)
2022,Total,M,13350193,Total,406411,0.29484513794374295,0.03044233143296131,Extremely High (200001+)
2022,Trentino Alto Adige,F,230103,NordEst,7088,0.005142238614961825,0.03080359665019578,Low (1001-10000)
2022,Trentino Alto Adige,M,276217,NordEst,16046,0.011641134426591062,0.05809200737101627,Moderate (10001-50000)
2022,Umbria,F,157830,Centro,4198,0.003045586583748552,0.026598238611163907,Low (1001-10000)
2022,Umbria,M,194468,Centro,6528,0.004735966941093509,0.03356850484398462,Low (1001-10000)
2022,Valle D'Aosta,F,26050,NordOvest,761,0.000552094185381764,0.029213051823416505,Very low (1-1000)
2022,Valle D'Aosta,M,29114,NordOvest,908,0.0006587404997721969,0.031187744727622445,Very low (1-1000)
2022,Veneto,F,928534,NordEst,33287,0.02414922358581183,0.03584898345133296,Moderate (10001-50000)
2022,Veneto,M,1216827,NordEst,51306,0.0372217401776568,0.04216375869371735,High (50001-100000)
2023,Abruzzo,F,212042,Sud,1860,0.0038564728616272657,0.008771847086897879,Low (1001-10000)
2023,Abruzzo,M,290074,Sud,3129,0.006487582572060061,0.010786902652426622,Low (1001-10000)
2023,Basilicata,F,73520,Sud,639,0.001324885031494528,0.008691512513601741,Very low (1-1000)
2023,Basilicata,M,120655,Sud,1057,0.002191554739107537,0.0087605155194563,Low (1001-10000)
2023,Calabria,F,196407,Sud,1236,0.0025626884177265058,0.006293054728191969,Low (1001-10000)
2023,Calabria,M,342776,Sud,2236,0.004636060923977724,0.006523210493150046,Low (1001-10000)
2023,Campania,F,589552,Sud,3157,0.006545637002235095,0.005354913561483974,Low (1001-10000)
2023,Campania,M,1094401,Sud,5877,0.012185210219238409,0.005370060882619807,Low (1001-10000)
2023,Emilia Romagna,F,908128,NordEst,11249,0.023323367322819952,0.012387020331935587,Moderate (10001-50000)
2023,Emilia Romagna,M,1115022,NordEst,20488,0.042479255908074956,0.018374525345688248,Moderate (10001-50000)
2023,Friuli Venezia Giulia,F,231915,NordEst,2516,0.005216605225728065,0.010848802362934696,Low (1001-10000)
2023,Friuli Venezia Giulia,M,288001,NordEst,4062,0.008422039120392449,0.014104117694035785,Low (1001-10000)
2023,Lazio,F,1037458,Centro,7001,0.014515680916264777,0.006748224988385072,Low (1001-10000)
2023,Lazio,M,1337948,Centro,10116,0.020974236273237322,0.007560831960584418,Moderate (10001-50000)
2023,Liguria,F,280746,NordOvest,3071,0.006367326966697491,0.010938713285318402,Low (1001-10000)
2023,Liguria,M,352271,NordOvest,4943,0.01024868029839977,0.014031810736620387,Low (1001-10000)
2023,Lombardia,F,1978916,NordOvest,17176,0.035612246167370916,0.00867949928142478,Moderate (10001-50000)
2023,Lombardia,M,2521800,NordOvest,30413,0.0630574780326183,0.012060036481878025,Moderate (10001-50000)
2023,Marche,F,284720,Centro,2441,0.005061102287759224,0.008573335206518685,Low (1001-10000)
2023,Marche,M,356387,Centro,4462,0.009251388122892936,0.01252009753442185,Low (1001-10000)
2023,Molise,F,42427,Sud,278,0.000576397556737838,0.00655243123482688,Very low (1-1000)
2023,Molise,M,63886,Sud,465,0.000964118215406816,0.007278589988416868,Very low (1-1000)
2023,Piemonte,F,798529,NordOvest,7389,0.01532014944869025,0.009253264439989032,Low (1001-10000)
2023,Piemonte,M,1002332,NordOvest,11089,0.02299162772181976,0.011063200616163107,Moderate (10001-50000)
2023,Puglia,F,469897,Sud,3887,0.008059198931798484,0.008272025571561427,Low (1001-10000)
2023,Puglia,M,822749,Sud,7421,0.01538649736889029,0.009019761798555816,Low (1001-10000)
2023,Sardegna,F,247647,0,0,0.0,0.0,No injuries
2023,Sardegna,M,329062,0,0,0.0,0.0,No injuries
2023,Sicilia,F,516568,Sud,3763,0.007802100741023333,0.00728461693329823,Low (1001-10000)
2023,Sicilia,M,894208,Sud,7036,0.01458824895398357,0.007868415402233037,Low (1001-10000)
2023,Toscana,F,728098,Centro,7230,0.01499048322019631,0.009929981952978856,Low (1001-10000)
2023,Toscana,M,899937,Centro,11957,0.02479131505724581,0.013286485609548225,Moderate (10001-50000)
2023,Total,F,9988556,Total,87715,0.1818658693858256,0.008781549605368383,High (50001-100000)
2023,Total,M,13591391,Total,153438,0.3181341306141744,0.011289352208320691,Very High (100001-200000)
2023,Trentino Alto Adige,F,231241,NordEst,2952,0.006120595638453595,0.012765902240519631,Low (1001-10000)
2023,Trentino Alto Adige,M,276467,NordEst,6118,0.012684892993244951,0.022129223379282158,Low (1001-10000)
2023,Umbria,F,160107,Centro,1544,0.003201287149651881,0.009643550875352108,Low (1001-10000)
2023,Umbria,M,201489,Centro,2768,0.005739095097303372,0.013737722654834755,Low (1001-10000)
2023,Valle D'Aosta,F,26767,NordOvest,221,0.000458215323881519,0.00825643516270034,Very low (1-1000)
2023,Valle D'Aosta,M,30046,NordOvest,357,0.0007401939847316839,0.011881781268721294,Very low (1-1000)
2023,Veneto,F,973871,NordEst,10105,0.02095142917566856,0.010376117576147148,Moderate (10001-50000)
2023,Veneto,M,1251880,NordEst,19444,0.040314655011548683,0.015531840112470845,Moderate (10001-50000)
2024,Abruzzo,F,0,Sud,1726,0.003503202812304645,0.0,Low (1001-10000)
2024,Abruzzo,M,0,Sud,3016,0.006121471426367792,0.0,Low (1001-10000)
2024,Basilicata,F,0,Sud,605,0.001227947683339693,0.0,Very low (1-1000)
2024,Basilicata,M,0,Sud,1052,0.002135208203096457,0.0,Low (1001-10000)
2024,Calabria,F,0,Sud,1314,0.002666980588278275,0.0,Low (1001-10000)
2024,Calabria,M,0,Sud,2364,0.004798129460190139,0.0,Low (1001-10000)
2024,Campania,F,0,Sud,2904,0.005894148880030526,0.0,Low (1001-10000)
2024,Campania,M,0,Sud,5922,0.012019679637582912,0.0,Low (1001-10000)
2024,Emilia Romagna,F,0,NordEst,11712,0.023771443416982615,0.0,Moderate (10001-50000)
2024,Emilia Romagna,M,0,NordEst,20457,0.04152086902162,0.0,Moderate (10001-50000)
2024,Friuli Venezia Giulia,F,0,NordEst,2563,0.005202032913057245,0.0,Low (1001-10000)
2024,Friuli Venezia Giulia,M,0,NordEst,4091,0.00830336193808708,0.0,Low (1001-10000)
2024,Lazio,F,0,Centro,6914,0.014033107905141548,0.0,Low (1001-10000)
2024,Lazio,M,0,Centro,10363,0.021033424532973948,0.0,Moderate (10001-50000)
2024,Liguria,F,0,NordOvest,3050,0.00619048005650589,0.0,Low (1001-10000)
2024,Liguria,M,0,NordOvest,4911,0.009967687723770631,0.0,Low (1001-10000)
2024,Lombardia,F,0,NordOvest,17766,0.03605903891274873,0.0,Moderate (10001-50000)
2024,Lombardia,M,0,NordOvest,30694,0.06229855568996452,0.0,Moderate (10001-50000)
2024,Marche,F,0,Centro,2433,0.004938176386058633,0.0,Low (1001-10000)
2024,Marche,M,0,Centro,4504,0.009141613827705748,0.0,Low (1001-10000)
2024,Molise,F,0,Sud,268,0.000543950378735599,0.0,Very low (1-1000)
2024,Molise,M,0,Sud,522,0.00105948543917904,0.0,Very low (1-1000)
2024,Piemonte,F,0,NordOvest,7611,0.015447784822972568,0.0,Low (1001-10000)
2024,Piemonte,M,0,NordOvest,11606,0.02355629886419913,0.0,Moderate (10001-50000)
2024,Puglia,F,0,Sud,4135,0.00839266722414815,0.0,Low (1001-10000)
2024,Puglia,M,0,Sud,7684,0.015595950411210249,0.0,Low (1001-10000)
2024,Sicilia,F,0,Sud,3908,0.007931933134696726,0.0,Low (1001-10000)
2024,Sicilia,M,0,Sud,7263,0.014741461196853206,0.0,Low (1001-10000)
2024,Toscana,F,0,Centro,7388,0.01499516939589033,0.0,Low (1001-10000)
2024,Toscana,M,0,Centro,12554,0.025480421845696703,0.0,Moderate (10001-50000)
2024,Total,F,0,Total,89678,0.18201635098601154,0.0,High (50001-100000)
2024,Total,M,0,Total,156668,0.31798364901398846,0.0,Very High (100001-200000)
2024,Trentino Alto Adige,F,0,NordEst,3268,0.006632947155626639,0.0,Low (1001-10000)
2024,Trentino Alto Adige,M,0,NordEst,6693,0.01358455180924391,0.0,Low (1001-10000)
2024,Umbria,F,0,Centro,1664,0.00337736354558223,0.0,Low (1001-10000)
2024,Umbria,M,0,Centro,2821,0.005725686635869875,0.0,Low (1001-10000)
2024,Valle D'Aosta,F,0,NordOvest,238,0.000483060410966689,0.0,Very low (1-1000)
2024,Valle D'Aosta,M,0,NordOvest,361,0.0007327092788192211,0.0,Very low (1-1000)
2024,Veneto,F,0,NordEst,10211,0.0207249153629448,0.0,Moderate (10001-50000)
2024,Veneto,M,0,NordEst,19790,0.04016708207155789,0.0,Moderate (10001-50000)
