Year,DescrRegione,Occupati,MacroRegione,Nazionalità,Count,Percentage,PercentageOccupati,SummarisedCount
2018,Abruzzo,493923,Sud,0,1592,0.0,0.0032231744624162065,Low (1001-10000)
2018,Abruzzo,493923,Sud,1,12321,0.0,0.024945183763461106,Moderate (10001-50000)
2018,Basilicata,185328,Sud,0,295,0.0,0.001591772425105758,Very low (1-1000)
2018,Basilicata,185328,Sud,1,4377,0.0,0.023617586117586117,Low (1001-10000)
2018,Calabria,540555,Sud,0,600,0.0,0.001109970308294253,Very low (1-1000)
2018,Calabria,540555,Sud,1,9534,0.0,0.01763742819879568,Low (1001-10000)
2018,Campania,1640948,Sud,0,1074,0.0,0.000654499716017814,Low (1001-10000)
2018,Campania,1640948,Sud,1,21929,0.0,0.013363616641112332,Moderate (10001-50000)
2018,Emilia Romagna,1996335,NordEst,0,20411,0.0,0.010224235912309303,Moderate (10001-50000)
2018,Emilia Romagna,1996335,NordEst,1,65946,0.0,0.033033533950965144,High (50001-100000)
2018,Friuli Venezia Giulia,507129,NordEst,0,3885,0.0,0.007660772702803429,Low (1001-10000)
2018,Friuli Venezia Giulia,507129,NordEst,1,13408,0.0,0.026439032277783367,Moderate (10001-50000)
2018,Lazio,2324973,Centro,0,5003,0.0,0.002151852946249268,Low (1001-10000)
2018,Lazio,2324973,Centro,1,40028,0.0,0.017216544020081093,Moderate (10001-50000)
2018,Liguria,601566,NordOvest,0,3002,0.0,0.0049903086278147366,Low (1001-10000)
2018,Liguria,601566,NordOvest,1,17632,0.0,0.02931016713045618,Moderate (10001-50000)
2018,Lombardia,4393446,NordOvest,0,24222,0.0,0.005513212180142877,Moderate (10001-50000)
2018,Lombardia,4393446,NordOvest,1,95944,0.0,0.021837983214087534,High (50001-100000)
2018,Marche,632187,Centro,0,3058,0.0,0.004837176341810256,Low (1001-10000)
2018,Marche,632187,Centro,1,15662,0.0,0.024774315194712956,Moderate (10001-50000)
2018,Molise,105958,Sud,0,146,0.0,0.001377904452707676,Very low (1-1000)
2018,Molise,105958,Sud,1,1994,0.0,0.018818777251363748,Low (1001-10000)
2018,Piemonte,1815546,NordOvest,0,7454,0.0,0.004105651963651705,Low (1001-10000)
2018,Piemonte,1815546,NordOvest,1,40407,0.0,0.022256114689465322,Moderate (10001-50000)
2018,Puglia,1201700,Sud,0,1481,0.0,0.00123242073728884,Low (1001-10000)
2018,Puglia,1201700,Sud,1,29644,0.0,0.02466838645252559,Moderate (10001-50000)
2018,Sicilia,1342938,Sud,0,1475,0.0,0.001098338121342906,Low (1001-10000)
2018,Sicilia,1342938,Sud,1,26778,0.0,0.019939863195471422,Moderate (10001-50000)
2018,Toscana,1578180,Centro,0,7858,0.0,0.004979153201789403,Low (1001-10000)
2018,Toscana,1578180,Centro,1,41350,0.0,0.02620106705192057,Moderate (10001-50000)
2018,Trentino Alto Adige,496171,NordEst,0,4778,0.0,0.00962974458402446,Low (1001-10000)
2018,Trentino Alto Adige,496171,NordEst,1,19605,0.0,0.03951258739426528,Moderate (10001-50000)
2018,Umbria,349450,Centro,0,1569,0.0,0.004489912719988553,Low (1001-10000)
2018,Umbria,349450,Centro,1,8815,0.0,0.025225354127915295,Low (1001-10000)
2018,Valle D'Aosta,54777,NordOvest,0,215,0.0,0.003925005020355259,Very low (1-1000)
2018,Valle D'Aosta,54777,NordOvest,1,1303,0.0,0.023787356007083264,Low (1001-10000)
2018,Veneto,2123868,NordEst,0,16421,0.0,0.007731648106191157,Moderate (10001-50000)
2018,Veneto,2123868,NordEst,1,60486,0.0,0.02847917102192792,High (50001-100000)
2019,Abruzzo,492615,Sud,0,1550,0.0,0.003146473412299666,Low (1001-10000)
2019,Abruzzo,492615,Sud,1,11834,0.0,0.024022817007196287,Moderate (10001-50000)
2019,Basilicata,187581,Sud,0,297,0.0,0.001583316007484766,Very low (1-1000)
2019,Basilicata,187581,Sud,1,4480,0.0,0.023883015870477288,Low (1001-10000)
2019,Calabria,538640,Sud,0,548,0.0,0.001017377097876132,Very low (1-1000)
2019,Calabria,538640,Sud,1,9375,0.0,0.017404945789395516,Low (1001-10000)
2019,Campania,1625581,Sud,0,1085,0.0,0.0006674536673349401,Low (1001-10000)
2019,Campania,1625581,Sud,1,22067,0.0,0.013574838780719016,Moderate (10001-50000)
2019,Emilia Romagna,2026012,NordEst,0,20518,0.0,0.010127284537307777,Moderate (10001-50000)
2019,Emilia Romagna,2026012,NordEst,1,64780,0.0,0.031974144279500814,High (50001-100000)
2019,Friuli Venezia Giulia,508166,NordEst,0,3915,0.0,0.0077041754072488125,Low (1001-10000)
2019,Friuli Venezia Giulia,508166,NordEst,1,13234,0.0,0.02604267109566559,Moderate (10001-50000)
2019,Lazio,2333459,Centro,0,5280,0.0,0.002262735278400006,Low (1001-10000)
2019,Lazio,2333459,Centro,1,40038,0.0,0.017158218764503682,Moderate (10001-50000)
2019,Liguria,601748,NordOvest,0,3311,0.0,0.005502303289749198,Low (1001-10000)
2019,Liguria,601748,NordOvest,1,17461,0.0,0.029017130094325203,Moderate (10001-50000)
2019,Lombardia,4451020,NordOvest,0,25096,0.0,0.005638258196997542,Moderate (10001-50000)
2019,Lombardia,4451020,NordOvest,1,95029,0.0,0.021349937767073616,High (50001-100000)
2019,Marche,632493,Centro,0,3313,0.0,0.005238002634021246,Low (1001-10000)
2019,Marche,632493,Centro,1,15790,0.0,0.024964703166675362,Moderate (10001-50000)
2019,Molise,108495,Sud,0,130,0.0,0.00119821189916586,Very low (1-1000)
2019,Molise,108495,Sud,1,1865,0.0,0.01718973224572561,Low (1001-10000)
2019,Piemonte,1812535,NordOvest,0,7691,0.0,0.004243228406623872,Low (1001-10000)
2019,Piemonte,1812535,NordOvest,1,40089,0.0,0.022117641866226032,Moderate (10001-50000)
2019,Puglia,1216063,Sud,0,1568,0.0,0.0012894068810579708,Low (1001-10000)
2019,Puglia,1216063,Sud,1,29416,0.0,0.024189536232908985,Moderate (10001-50000)
2019,Sicilia,1341533,Sud,0,1420,0.0,0.0010584905477539499,Low (1001-10000)
2019,Sicilia,1341533,Sud,1,26514,0.0,0.01976395660785087,Moderate (10001-50000)
2019,Toscana,1584130,Centro,0,8401,0.0,0.0053032263766231305,Low (1001-10000)
2019,Toscana,1584130,Centro,1,41134,0.0,0.025966303270564917,Moderate (10001-50000)
2019,Trentino Alto Adige,500166,NordEst,0,5151,0.0,0.010298580871150778,Low (1001-10000)
2019,Trentino Alto Adige,500166,NordEst,1,19283,0.0,0.038553200337487964,Moderate (10001-50000)
2019,Umbria,358279,Centro,0,1634,0.0,0.004560691528110774,Low (1001-10000)
2019,Umbria,358279,Centro,1,8980,0.0,0.025064265558405602,Low (1001-10000)
2019,Valle D'Aosta,55199,NordOvest,0,235,0.0,0.004257323502237359,Very low (1-1000)
2019,Valle D'Aosta,55199,NordOvest,1,1212,0.0,0.02195691950941141,Low (1001-10000)
2019,Veneto,2153657,NordEst,0,16939,0.0,0.007865226449708565,Moderate (10001-50000)
2019,Veneto,2153657,NordEst,1,60484,0.0,0.028084323548271607,High (50001-100000)
2020,Abruzzo,475361,Sud,0,1330,0.0,0.0027978736160517996,Low (1001-10000)
2020,Abruzzo,475361,Sud,1,9819,0.0,0.02065588047820498,Low (1001-10000)
2020,Basilicata,183695,Sud,0,256,0.0,0.001393614415199107,Very low (1-1000)
2020,Basilicata,183695,Sud,1,3689,0.0,0.02008220147527151,Low (1001-10000)
2020,Calabria,513834,Sud,0,428,0.0,0.000832953833339171,Very low (1-1000)
2020,Calabria,513834,Sud,1,6858,0.0,0.013346722871588881,Low (1001-10000)
2020,Campania,1569819,Sud,0,937,0.0,0.0005968840993770609,Very low (1-1000)
2020,Campania,1569819,Sud,1,21449,0.0,0.013663358641983566,Moderate (10001-50000)
2020,Emilia Romagna,1966238,NordEst,0,17301,0.0,0.008799036535760167,Moderate (10001-50000)
2020,Emilia Romagna,1966238,NordEst,1,53210,0.0,0.02706183076514644,High (50001-100000)
2020,Friuli Venezia Giulia,506216,NordEst,0,3807,0.0,0.0075205050808350585,Low (1001-10000)
2020,Friuli Venezia Giulia,506216,NordEst,1,11898,0.0,0.023503800749087346,Moderate (10001-50000)
2020,Lazio,2258785,Centro,0,4402,0.0,0.001948835325185885,Low (1001-10000)
2020,Lazio,2258785,Centro,1,32695,0.0,0.014474595855736601,Moderate (10001-50000)
2020,Liguria,579517,NordOvest,0,3272,0.0,0.005646081133081514,Low (1001-10000)
2020,Liguria,579517,NordOvest,1,16008,0.0,0.027623003294122518,Moderate (10001-50000)
2020,Lombardia,4315137,NordOvest,0,24943,0.0,0.00578034949991159,Moderate (10001-50000)
2020,Lombardia,4315137,NordOvest,1,90112,0.0,0.02088276687391385,High (50001-100000)
2020,Marche,611817,Centro,0,2701,0.0,0.004414718780288877,Low (1001-10000)
2020,Marche,611817,Centro,1,13310,0.0,0.021754871146110685,Moderate (10001-50000)
2020,Molise,103979,Sud,0,108,0.0,0.0010386712701603209,Very low (1-1000)
2020,Molise,103979,Sud,1,1432,0.0,0.01377201165619981,Low (1001-10000)
2020,Piemonte,1748168,NordOvest,0,9193,0.0,0.0052586479102694934,Low (1001-10000)
2020,Piemonte,1748168,NordOvest,1,41465,0.0,0.02371911624054439,Moderate (10001-50000)
2020,Puglia,1188112,Sud,0,1320,0.0,0.001111006369769853,Low (1001-10000)
2020,Puglia,1188112,Sud,1,23919,0.0,0.02013194042312509,Moderate (10001-50000)
2020,Sicilia,1305304,Sud,0,1245,0.0,0.000953800800426567,Low (1001-10000)
2020,Sicilia,1305304,Sud,1,21413,0.0,0.016404607662276374,Moderate (10001-50000)
2020,Toscana,1544467,Centro,0,6988,0.0,0.004524538238758095,Low (1001-10000)
2020,Toscana,1544467,Centro,1,34370,0.0,0.022253631835448734,Moderate (10001-50000)
2020,Trentino Alto Adige,486175,NordEst,0,4565,0.0,0.009389623078109732,Low (1001-10000)
2020,Trentino Alto Adige,486175,NordEst,1,17835,0.0,0.03668432148917569,Moderate (10001-50000)
2020,Umbria,348364,Centro,0,1366,0.0,0.003921185886027259,Low (1001-10000)
2020,Umbria,348364,Centro,1,6660,0.0,0.01911793411489132,Low (1001-10000)
2020,Valle D'Aosta,53103,NordOvest,0,243,0.0,0.0045760126546522785,Very low (1-1000)
2020,Valle D'Aosta,53103,NordOvest,1,1458,0.0,0.02745607592791368,Low (1001-10000)
2020,Veneto,2075427,NordEst,0,14727,0.0,0.007095889183286138,Moderate (10001-50000)
2020,Veneto,2075427,NordEst,1,54205,0.0,0.02611751702179841,High (50001-100000)
2021,Abruzzo,484387,Sud,0,1564,0.0,0.003228823234314711,Low (1001-10000)
2021,Abruzzo,484387,Sud,1,10011,0.0,0.02066735895059116,Moderate (10001-50000)
2021,Basilicata,189066,Sud,0,289,0.0,0.0015285667438883772,Very low (1-1000)
2021,Basilicata,189066,Sud,1,3876,0.0,0.020500777506267654,Low (1001-10000)
2021,Calabria,520963,Sud,0,490,0.0,0.000940565836729287,Very low (1-1000)
2021,Calabria,520963,Sud,1,7468,0.0,0.014334991160600656,Low (1001-10000)
2021,Campania,1592095,Sud,0,984,0.0,0.000618053570923845,Very low (1-1000)
2021,Campania,1592095,Sud,1,19360,0.0,0.012160078387282164,Moderate (10001-50000)
2021,Emilia Romagna,1978443,NordEst,0,19406,0.0,0.009808723324351523,Moderate (10001-50000)
2021,Emilia Romagna,1978443,NordEst,1,55575,0.0,0.02809027098582067,High (50001-100000)
2021,Friuli Venezia Giulia,510300,NordEst,0,3831,0.0,0.007507348618459729,Low (1001-10000)
2021,Friuli Venezia Giulia,510300,NordEst,1,12147,0.0,0.023803644914756027,Moderate (10001-50000)
2021,Lazio,2265747,Centro,0,4527,0.0,0.001998016548184771,Low (1001-10000)
2021,Lazio,2265747,Centro,1,33181,0.0,0.014644618309105122,Moderate (10001-50000)
2021,Liguria,594600,NordOvest,0,3368,0.0,0.005664312142616885,Low (1001-10000)
2021,Liguria,594600,NordOvest,1,15824,0.0,0.026612848974100232,Moderate (10001-50000)
2021,Lombardia,4332517,NordOvest,0,23606,0.0,0.005448564887339161,Moderate (10001-50000)
2021,Lombardia,4332517,NordOvest,1,82258,0.0,0.018986192091110087,High (50001-100000)
2021,Marche,616562,Centro,0,3010,0.0,0.004881909686292701,Low (1001-10000)
2021,Marche,616562,Centro,1,13450,0.0,0.02181451338227137,Moderate (10001-50000)
2021,Molise,100276,Sud,0,150,0.0,0.001495871394949938,Very low (1-1000)
2021,Molise,100276,Sud,1,1586,0.0,0.015816346882604013,Low (1001-10000)
2021,Piemonte,1767300,NordOvest,0,7458,0.0,0.004219996604990663,Low (1001-10000)
2021,Piemonte,1767300,NordOvest,1,34389,0.0,0.01945849601086403,Moderate (10001-50000)
2021,Puglia,1206761,Sud,0,1411,0.0,0.001169245608699651,Low (1001-10000)
2021,Puglia,1206761,Sud,1,23434,0.0,0.019418923879707742,Moderate (10001-50000)
2021,Sicilia,1310864,Sud,0,1310,0.0,0.000999340892724188,Low (1001-10000)
2021,Sicilia,1310864,Sud,1,22842,0.0,0.017425148604279316,Moderate (10001-50000)
2021,Toscana,1546282,Centro,0,7881,0.0,0.005096741732749912,Low (1001-10000)
2021,Toscana,1546282,Centro,1,35692,0.0,0.02308246490614261,Moderate (10001-50000)
2021,Trentino Alto Adige,487081,NordEst,0,4817,0.0,0.009889525561456924,Low (1001-10000)
2021,Trentino Alto Adige,487081,NordEst,1,16813,0.0,0.03451787279733761,Moderate (10001-50000)
2021,Umbria,354249,Centro,0,1722,0.0,0.004860987610409627,Low (1001-10000)
2021,Umbria,354249,Centro,1,7368,0.0,0.020798929566491365,Low (1001-10000)
2021,Valle D'Aosta,52741,NordOvest,0,197,0.0,0.003735234447583473,Very low (1-1000)
2021,Valle D'Aosta,52741,NordOvest,1,1133,0.0,0.021482338218843024,Low (1001-10000)
2021,Veneto,2080525,NordEst,0,16172,0.0,0.007773038055298542,Moderate (10001-50000)
2021,Veneto,2080525,NordEst,1,54363,0.0,0.02612946251547086,High (50001-100000)
2022,Abruzzo,482849,Sud,0,1926,0.0,0.003988824663611191,Low (1001-10000)
2022,Abruzzo,482849,Sud,1,13888,0.0,0.028762615227534902,Moderate (10001-50000)
2022,Basilicata,188761,Sud,0,286,0.0,0.001515143488326508,Very low (1-1000)
2022,Basilicata,188761,Sud,1,3996,0.0,0.02116962720053401,Low (1001-10000)
2022,Calabria,528974,Sud,0,563,0.0,0.001064324522566326,Very low (1-1000)
2022,Calabria,528974,Sud,1,9713,0.0,0.01836196107937252,Low (1001-10000)
2022,Campania,1641300,Sud,0,1345,0.0,0.00081947236946323,Low (1001-10000)
2022,Campania,1641300,Sud,1,32078,0.0,0.01954426369341376,Moderate (10001-50000)
2022,Emilia Romagna,2001272,NordEst,0,21653,0.0,0.010819618722492494,Moderate (10001-50000)
2022,Emilia Romagna,2001272,NordEst,1,60268,0.0,0.03011484695733514,High (50001-100000)
2022,Friuli Venezia Giulia,520517,NordEst,0,4035,0.0,0.007751908198963721,Low (1001-10000)
2022,Friuli Venezia Giulia,520517,NordEst,1,12852,0.0,0.024690836226290397,Moderate (10001-50000)
2022,Lazio,2320883,Centro,0,6081,0.0,0.0026201234616307673,Low (1001-10000)
2022,Lazio,2320883,Centro,1,48330,0.0,0.02082397087660171,Moderate (10001-50000)
2022,Liguria,616116,NordOvest,0,4421,0.0,0.007175596803199398,Low (1001-10000)
2022,Liguria,616116,NordOvest,1,23903,0.0,0.03879626563828889,Moderate (10001-50000)
2022,Lombardia,4424396,NordOvest,0,29268,0.0,0.006615140236090983,Moderate (10001-50000)
2022,Lombardia,4424396,NordOvest,1,103222,0.0,0.02333019015476915,Very High (100001-200000)
2022,Marche,639261,Centro,0,3385,0.0,0.005295176774431727,Low (1001-10000)
2022,Marche,639261,Centro,1,15513,0.0,0.024267083397860968,Moderate (10001-50000)
2022,Molise,103093,Sud,0,184,0.0,0.0017847962519278709,Very low (1-1000)
2022,Molise,103093,Sud,1,2246,0.0,0.02178615424907608,Low (1001-10000)
2022,Piemonte,1785318,NordOvest,0,9696,0.0,0.005430965239806017,Low (1001-10000)
2022,Piemonte,1785318,NordOvest,1,44743,0.0,0.025061641679521518,Moderate (10001-50000)
2022,Puglia,1266627,Sud,0,1498,0.0,0.001182668615148737,Low (1001-10000)
2022,Puglia,1266627,Sud,1,28102,0.0,0.022186484260954487,Moderate (10001-50000)
2022,Sicilia,1337017,Sud,0,1520,0.0,0.001136859142404322,Low (1001-10000)
2022,Sicilia,1337017,Sud,1,31217,0.0,0.02334824463712877,Moderate (10001-50000)
2022,Toscana,1617713,Centro,0,9803,0.0,0.0060597893445870805,Low (1001-10000)
2022,Toscana,1617713,Centro,1,43337,0.0,0.026789053435312692,Moderate (10001-50000)
2022,Trentino Alto Adige,506320,NordEst,0,5325,0.0,0.010517064307157528,Low (1001-10000)
2022,Trentino Alto Adige,506320,NordEst,1,17809,0.0,0.035173408121346186,Moderate (10001-50000)
2022,Umbria,352298,Centro,0,1913,0.0,0.005430062049741979,Low (1001-10000)
2022,Umbria,352298,Centro,1,8813,0.0,0.02501575370850814,Low (1001-10000)
2022,Valle D'Aosta,55164,NordOvest,0,264,0.0,0.0047857298237981285,Very low (1-1000)
2022,Valle D'Aosta,55164,NordOvest,1,1405,0.0,0.02546950910013777,Low (1001-10000)
2022,Veneto,2145361,NordEst,0,19046,0.0,0.008877759966737533,Moderate (10001-50000)
2022,Veneto,2145361,NordEst,1,65547,0.0,0.030552899954832777,High (50001-100000)
2023,Abruzzo,502116,Sud,0,670,0.0,0.001334353018027706,Very low (1-1000)
2023,Abruzzo,502116,Sud,1,4319,0.0,0.008601598037106964,Low (1001-10000)
2023,Basilicata,194175,Sud,0,128,0.0,0.00065919917600103,Very low (1-1000)
2023,Basilicata,194175,Sud,1,1568,0.0,0.008075189906012617,Low (1001-10000)
2023,Calabria,539183,Sud,0,233,0.0,0.00043213528616443703,Very low (1-1000)
2023,Calabria,539183,Sud,1,3239,0.0,0.006007236875049844,Low (1001-10000)
2023,Campania,1683953,Sud,0,444,0.0,0.000263665316074736,Very low (1-1000)
2023,Campania,1683953,Sud,1,8590,0.0,0.005101092488923384,Low (1001-10000)
2023,Emilia Romagna,2023150,NordEst,0,8281,0.0,0.004093122111558708,Low (1001-10000)
2023,Emilia Romagna,2023150,NordEst,1,23456,0.0,0.011593801744803895,Moderate (10001-50000)
2023,Friuli Venezia Giulia,519916,NordEst,0,1559,0.0,0.002998561306057132,Low (1001-10000)
2023,Friuli Venezia Giulia,519916,NordEst,1,5019,0.0,0.009653482485632294,Low (1001-10000)
2023,Lazio,2375406,Centro,0,2277,0.0,0.000958572976577477,Low (1001-10000)
2023,Lazio,2375406,Centro,1,14840,0.0,0.006247353084062261,Moderate (10001-50000)
2023,Liguria,633017,NordOvest,0,1500,0.0,0.0023696046077751457,Low (1001-10000)
2023,Liguria,633017,NordOvest,1,6514,0.0,0.01029040294336487,Low (1001-10000)
2023,Lombardia,4500716,NordOvest,0,11082,0.0,0.002462274891372839,Moderate (10001-50000)
2023,Lombardia,4500716,NordOvest,1,36507,0.0,0.00811137605660966,Moderate (10001-50000)
2023,Marche,641107,Centro,0,1315,0.0,0.002051139669353165,Low (1001-10000)
2023,Marche,641107,Centro,1,5588,0.0,0.008716173743228509,Low (1001-10000)
2023,Molise,106313,Sud,0,56,0.0,0.00052674649384365,Very low (1-1000)
2023,Molise,106313,Sud,1,687,0.0,0.006462050736974781,Very low (1-1000)
2023,Piemonte,1800861,NordOvest,0,3412,0.0,0.0018946492816491662,Low (1001-10000)
2023,Piemonte,1800861,NordOvest,1,15066,0.0,0.008365998264163642,Moderate (10001-50000)
2023,Puglia,1292646,Sud,0,597,0.0,0.00046184338171471504,Very low (1-1000)
2023,Puglia,1292646,Sud,1,10711,0.0,0.008286104625705722,Moderate (10001-50000)
2023,Sicilia,1410776,Sud,0,560,0.0,0.000396944660243724,Very low (1-1000)
2023,Sicilia,1410776,Sud,1,10239,0.0,0.0072577078147062326,Moderate (10001-50000)
2023,Toscana,1628035,Centro,0,3777,0.0,0.002319974693418753,Low (1001-10000)
2023,Toscana,1628035,Centro,1,15410,0.0,0.009465398471163088,Moderate (10001-50000)
2023,Trentino Alto Adige,507708,NordEst,0,1949,0.0,0.003838820739480173,Low (1001-10000)
2023,Trentino Alto Adige,507708,NordEst,1,7121,0.0,0.01402577859714639,Low (1001-10000)
2023,Umbria,361596,Centro,0,814,0.0,0.002251131096582927,Very low (1-1000)
2023,Umbria,361596,Centro,1,3498,0.0,0.009673779577207713,Low (1001-10000)
2023,Valle D'Aosta,56813,NordOvest,0,91,0.0,0.001601746079242426,Very low (1-1000)
2023,Valle D'Aosta,56813,NordOvest,1,487,0.0,0.008571981764736943,Very low (1-1000)
2023,Veneto,2225751,NordEst,0,7322,0.0,0.003289676158743723,Low (1001-10000)
2023,Veneto,2225751,NordEst,1,22227,0.0,0.009986292267194307,Moderate (10001-50000)
2018,Total,22958728,Total,0,104539,0.055162613595228976,0.004553344592958285,Very High (100001-200000)
2018,Total,22958728,Total,1,527163,0.27817071973810437,0.022961333049461626,Extremely High (200001+)
2019,Total,23109405,Total,0,108082,0.057082317325968954,0.004676970263838467,Very High (100001-200000)
2019,Total,23109405,Total,1,523065,0.2762510160073644,0.022634291103557188,Extremely High (200001+)
2020,Total,22385258,Total,0,99132,0.05890857618591749,0.004428450188065735,High (50001-100000)
2020,Total,22385258,Total,1,461805,0.2744247571474158,0.02062987167715467,Extremely High (200001+)
2021,Total,22553956,Total,0,102193,0.061603277856444885,0.00453104546271173,Very High (100001-200000)
2021,Total,22553956,Total,1,450770,0.27173005547688844,0.019986294200449797,Extremely High (200001+)
2022,Total,23099391,Total,0,122212,0.0591086592938031,0.00529070225271307,Very High (100001-200000)
2022,Total,23099391,Total,1,566982,0.2742246740395302,0.02454532242863026,Extremely High (200001+)
2023,Total,23579947,Total,0,46067,0.0636760341636499,0.001953651549768114,Moderate (10001-50000)
2023,Total,23579947,Total,1,195086,0.26965729916968345,0.008273385856210787,Very High (100001-200000)
