Anno,Regione,Sesso,Occupati,Area Geografica,Count,Percentage,PercentageOccupati
2018,Abruzzo,F,194266,Sud,5118,0.4050960737816249,2.6345320333975066
2018,Abruzzo,M,299657,Sud,8795,0.6961352029912838,2.93502237558275
2018,Basilicata,F,68746,Sud,1720,0.1361401420289947,2.5019637506182177
2018,Basilicata,M,116582,Sud,2952,0.2336544763195304,2.5321233123466746
2018,Calabria,F,200098,Sud,3590,0.2841529708628436,1.7941208807684235
2018,Calabria,M,340457,Sud,6544,0.5179657496731054,1.922122323817692
2018,Campania,F,583010,Sud,7533,0.5962463313397773,1.292087614277628
2018,Campania,M,1057938,Sud,15470,1.2244697658072952,1.4622785078142575
2018,Emilia Romagna,F,894381,NordEst,30251,2.3944043235576267,3.3823392938803485
2018,Emilia Romagna,M,1101954,NordEst,56106,4.44085977248766,5.091501097141986
2018,Friuli Venezia Giulia,F,,NordEst,6181,0.4892338476053582,0.0
2018,Friuli Venezia Giulia,M,,NordEst,11112,0.8795286385035982,0.0
2018,Friuli-Venezia Giulia,F,225075,,0,0.0,0.0
2018,Friuli-Venezia Giulia,M,282054,,0,0.0,0.0
2018,Lazio,F,1020600,Centro,18319,1.449971663854159,1.7949245541838137
2018,Lazio,M,1304373,Centro,26712,2.1142880662084336,2.047880475906815
2018,Liguria,F,264973,NordOvest,7997,0.6329725091894596,3.018043347812796
2018,Liguria,M,336593,NordOvest,12637,1.0002342876862824,3.7543858606685223
2018,Lombardia,F,1908128,NordOvest,42864,3.3927389813551327,2.246390179275185
2018,Lombardia,M,2485318,NordOvest,77302,6.1185495692589225,3.110346442588031
2018,Marche,F,274690,Centro,6440,0.5097340201550731,2.3444610287960974
2018,Marche,M,357497,Centro,12280,0.9719772930907294,3.434993860088337
2018,Molise,F,40904,Sud,843,0.06672449984328054,2.060923137101506
2018,Molise,M,65054,Sud,1297,0.10265916523930588,1.9937282872690378
2018,Piemonte,F,804020,NordOvest,19056,1.5083061316886759,2.370090296261287
2018,Piemonte,M,1011526,NordOvest,28805,2.2799516227588326,2.8476776672077633
2018,Puglia,F,436164,Sud,10664,0.844068880579767,2.4449518988270467
2018,Puglia,M,765536,Sud,20461,1.619513631427477,2.6727678384817954
2018,Sardegna,F,241812,,0,0.0,0.0
2018,Sardegna,M,331938,,0,0.0,0.0
2018,Sicilia,F,484186,Sud,9796,0.7753655996023442,2.0231894354648836
2018,Sicilia,M,858752,Sud,18457,1.460894535714625,2.1492817483976747
2018,Toscana,F,716511,Centro,18562,1.4692054164780228,2.590609216048323
2018,Toscana,M,861669,Centro,30646,2.4256690654770763,3.5565861136933092
2018,Total,F,,Total,225467,17.84599383886706,0.0
2018,Total,M,,Total,406235,32.15400616113294,0.0
2018,Trentino Alto Adige,F,225612,NordEst,7425,0.5876979968402822,3.291048348492102
2018,Trentino Alto Adige,M,270559,NordEst,16958,1.3422468189114487,6.267764147561159
2018,Umbria,F,152579,Centro,3796,0.3004581274081766,2.48789151849206
2018,Umbria,M,196871,Centro,6588,0.5214484044691959,3.346353703694297
2018,Valle D'Aosta,F,25671,NordOvest,585,0.04630347853893133,2.2788360406684585
2018,Valle D'Aosta,M,29106,NordOvest,933,0.07384811192619305,3.2055246340960624
2018,Veneto,F,915075,NordEst,24727,1.95717284415753,2.7021828811846023
2018,Veneto,M,1208793,NordEst,52180,4.130111983181943,4.316702694340553
2019,Abruzzo,F,199112,Sud,5079,0.402362682544637,2.5508256659568485
2019,Abruzzo,M,293503,Sud,8305,0.6579291353678303,2.829613325928525
2019,Basilicata,F,69133,Sud,1752,0.13879492416188305,2.5342455845978042
2019,Basilicata,M,118448,Sud,3025,0.23964306255119647,2.553863298662704
2019,Calabria,F,194172,Sud,3543,0.28067946136161626,1.8246709103269267
2019,Calabria,M,344468,Sud,6380,0.5054290046534325,1.852131402626659
2019,Campania,F,580865,Sud,7524,0.5960576537637032,1.2953095814001532
2019,Campania,M,1044716,Sud,15628,1.2380633988595366,1.495908936017061
2019,Emilia Romagna,F,915415,NordEst,29999,2.3765461928837497,3.277092903218759
2019,Emilia Romagna,M,1110597,NordEst,55299,4.38083362513012,4.979213882263323
2019,Friuli Venezia Giulia,F,,NordEst,6355,0.5034484834753234,0.0
2019,Friuli Venezia Giulia,M,,NordEst,10794,0.8551098238603685,0.0
2019,Friuli-Venezia Giulia,F,220726,,0,0.0,0.0
2019,Friuli-Venezia Giulia,M,287440,,0,0.0,0.0
2019,Lazio,F,1029891,Centro,18392,1.4570298203112746,1.785820052801704
2019,Lazio,M,1303568,Centro,26926,2.133100529670584,2.0655615970935157
2019,Liguria,F,267819,NordOvest,7893,0.625290146352593,2.947139672689391
2019,Liguria,M,333929,NordOvest,12879,1.0202852901146642,3.8568078843107365
2019,Lombardia,F,1937066,NordOvest,42709,3.3834431598343966,2.204829365648873
2019,Lombardia,M,2513954,NordOvest,77416,6.132961100979645,3.0794517322114885
2019,Marche,F,278484,Centro,6606,0.5233329161035385,2.3721290989787565
2019,Marche,M,354009,Centro,12497,0.9900229265131578,3.5301362394741376
2019,Molise,F,42323,Sud,773,0.06123771482713219,1.8264300734825034
2019,Molise,M,66172,Sud,1222,0.09680787518597093,1.8467025327933266
2019,Piemonte,F,803717,NordOvest,18992,1.504562328585892,2.3630208145404414
2019,Piemonte,M,1008818,NordOvest,28788,2.280609747016147,2.853636632177459
2019,Puglia,F,434381,Sud,10816,0.8568526824971044,2.489979994520939
2019,Puglia,M,781682,Sud,20168,1.5977260448041424,2.580077320444887
2019,Sardegna,F,252199,,0,0.0,0.0
2019,Sardegna,M,329834,,0,0.0,0.0
2019,Sicilia,F,490486,Sud,9817,0.7777110562198664,2.001484242159817
2019,Sicilia,M,851047,Sud,18117,1.4352440873520749,2.128789596814277
2019,Toscana,F,717197,Centro,18658,1.478102565646355,2.6015167380789377
2019,Toscana,M,866933,Centro,30877,2.44610209665894,3.561636251013631
2019,Total,F,,Total,225904,17.89630624878198,0.0
2019,Total,M,,Total,405243,32.10369375121802,0.0
2019,Trentino Alto Adige,F,226964,NordEst,7420,0.5878186856627695,3.2692409368886697
2019,Trentino Alto Adige,M,273202,NordEst,17014,1.347863492973903,6.227626444901575
2019,Umbria,F,160589,Centro,3887,0.30793143277239693,2.420464664453979
2019,Umbria,M,197690,Centro,6727,0.5329186386055863,3.4028023673428094
2019,Valle D'Aosta,F,25777,NordOvest,591,0.04681952065049822,2.2927415913411178
2019,Valle D'Aosta,M,29422,NordOvest,856,0.06781304513845428,2.9093875331384678
2019,Veneto,F,927451,NordEst,25098,1.9882848211272492,2.7061267926823085
2019,Veneto,M,1226206,NordEst,52325,4.145230825782266,4.267227529468947
2020,Abruzzo,F,188399,Sud,4582,0.408423762383298,2.432072357071959
2020,Abruzzo,M,286962,Sud,6567,0.5853598532455516,2.2884563112886025
2020,Basilicata,F,67395,Sud,1542,0.13744859048342328,2.288003561095037
2020,Basilicata,M,116300,Sud,2403,0.21419517699848645,2.066208082545142
2020,Calabria,F,182110,Sud,2485,0.22150437571420675,1.3645598813903683
2020,Calabria,M,331724,Sud,4801,0.4279446711484534,1.4472875040696482
2020,Campania,F,551025,Sud,7660,0.6827861239319211,1.3901365636767842
2020,Campania,M,1018794,Sud,14726,1.3126251254597219,1.4454345039330816
2020,Emilia Romagna,F,878847,NordEst,28486,2.5391443245854703,3.2412922840949565
2020,Emilia Romagna,M,1087391,NordEst,42025,3.7459643418066557,3.8647551800594266
2020,Friuli Venezia Giulia,F,,NordEst,6889,0.6140618286902094,0.0
2020,Friuli Venezia Giulia,M,,NordEst,8816,0.7858279985096366,0.0
2020,Friuli-Venezia Giulia,F,221290,,0,0.0,0.0
2020,Friuli-Venezia Giulia,M,284926,,0,0.0,0.0
2020,Lazio,F,983371,Centro,16110,1.435990137929928,1.6382423317344117
2020,Lazio,M,1275414,Centro,20987,1.8707091883758782,1.6455049105623742
2020,Liguria,F,257227,NordOvest,8739,0.7789644826424358,3.397388299051033
2020,Liguria,M,322290,NordOvest,10541,0.9395885812488747,3.2706568618325114
2020,Lombardia,F,1883528,NordOvest,53939,4.807937433258993,2.8637216967308157
2020,Lombardia,M,2431609,NordOvest,61116,5.447670594023927,2.5133975075762596
2020,Marche,F,267587,Centro,6361,0.566997719886547,2.377170789313382
2020,Marche,M,344230,Centro,9650,0.8601678976426943,2.8033582197949047
2020,Molise,F,40588,Sud,588,0.05241230298589681,1.4487040504582636
2020,Molise,M,63391,Sud,952,0.08485801435811864,1.5017904749885629
2020,Piemonte,F,777478,NordOvest,27174,2.4221971451339455,3.4951471295650807
2020,Piemonte,M,970690,NordOvest,23484,2.093283202926532,2.419309975378339
2020,Puglia,F,423620,Sud,9263,0.8256720451672827,2.1866295264623954
2020,Puglia,M,764492,Sud,15976,1.4240458375896046,2.089753718809353
2020,Sardegna,F,236978,,0,0.0,0.0
2020,Sardegna,M,314762,,0,0.0,0.0
2020,Sicilia,F,468297,Sud,7888,0.7031092618244117,1.6844011385936701
2020,Sicilia,M,837007,Sud,14770,1.3165471345266937,1.7646208454648526
2020,Toscana,F,691159,Centro,17936,1.5987535142092606,2.5950613389972497
2020,Toscana,M,853308,Centro,23422,2.0877567356048896,2.7448471126486567
2020,Total,F,,Total,240271,21.416932739327233,0.0
2020,Total,M,,Total,320666,28.583067260672767,0.0
2020,Trentino Alto Adige,F,218311,NordEst,8685,0.7741511078784249,3.9782695329140543
2020,Trentino Alto Adige,M,267864,NordEst,13715,1.2225080534890727,5.120135591195532
2020,Umbria,F,156729,Centro,2967,0.26446820231148954,1.8930765844227937
2020,Umbria,M,191635,Centro,5059,0.4509419061320612,2.6399144206434104
2020,Valle D'Aosta,F,24903,NordOvest,917,0.08173823441848194,3.6822872746255473
2020,Valle D'Aosta,M,28200,NordOvest,784,0.06988307064786242,2.780141843971631
2020,Veneto,F,879002,NordEst,28060,2.5011721458916063,3.192256672908594
2020,Veneto,M,1196425,NordEst,40872,3.643189876938052,3.416177361723468
2021,Abruzzo,F,193246,Sud,4369,0.39505355692876376,2.260848866211979
2021,Abruzzo,M,291141,Sud,7206,0.6515806663375308,2.4750893896771666
2021,Basilicata,F,71774,Sud,1486,0.1343670372158716,2.07038760553961
2021,Basilicata,M,117292,Sud,2679,0.24224043923372812,2.284043242505883
2021,Calabria,F,188903,Sud,2660,0.24052242193419812,1.4081300985161698
2021,Calabria,M,332060,Sud,5298,0.4790555606794668,1.595494790098175
2021,Campania,F,561556,Sud,6756,0.61089078292761,1.2030857118435205
2021,Campania,M,1030539,Sud,13588,1.22865363505334,1.3185333112089888
2021,Emilia Romagna,F,880939,NordEst,26608,2.4059475950470466,3.020413445198816
2021,Emilia Romagna,M,1097504,NordEst,48373,4.373981622640213,4.4075465784179375
2021,Friuli Venezia Giulia,F,,NordEst,6150,0.5560950732689167,0.0
2021,Friuli Venezia Giulia,M,,NordEst,9828,0.8886670536726688,0.0
2021,Friuli-Venezia Giulia,F,225247,,0,0.0,0.0
2021,Friuli-Venezia Giulia,M,285053,,0,0.0,0.0
2021,Lazio,F,988581,Centro,15385,1.3911419028036234,1.5562710592252937
2021,Lazio,M,1277166,Centro,22323,2.018489483021468,1.7478542335138891
2021,Liguria,F,263270,NordOvest,7539,0.681691180060872,2.863600106354693
2021,Liguria,M,331330,NordOvest,11653,1.0536871363906808,3.517037394742402
2021,Lombardia,F,1905304,NordOvest,38727,3.5017713662577785,2.0325890251634386
2021,Lombardia,M,2427213,NordOvest,67137,6.070659338870774,2.7660118827643063
2021,Marche,F,267301,Centro,5988,0.5414467152413452,2.2401711927751857
2021,Marche,M,349261,Centro,10472,0.9468987979304221,2.9983307612358665
2021,Molise,F,37198,Sud,686,0.06202946670934583,1.8441851712457658
2021,Molise,M,63078,Sud,1050,0.09494306128981506,1.6646057262436984
2021,Piemonte,F,782823,NordOvest,17421,1.5752410197427313,2.2254072759742622
2021,Piemonte,M,984477,NordOvest,24426,2.2086468714904974,2.481114337866705
2021,Puglia,F,437889,Sud,8507,0.7692196403737682,1.9427297785511852
2021,Puglia,M,768872,Sud,16338,1.4773140336695223,2.1249310678500453
2021,Sardegna,F,240946,,0,0.0,0.0
2021,Sardegna,M,322251,,0,0.0,0.0
2021,Sicilia,F,469661,Sud,8235,0.7446248664015495,1.7533923404327805
2021,Sicilia,M,841203,Sud,15917,1.439246387190463,1.8921710930655262
2021,Toscana,F,694121,Centro,16606,1.5015471197892083,2.392378274104947
2021,Toscana,M,852161,Centro,26967,2.43840907981185,3.1645428504707445
2021,Total,F,,Total,201451,18.21559489513765,0.0
2021,Total,M,,Total,351512,31.78440510486235,0.0
2021,Trentino Alto Adige,F,218097,NordEst,6720,0.6076355922548163,3.081197815650834
2021,Trentino Alto Adige,M,268984,NordEst,14910,1.3481914703153737,5.543080629331112
2021,Umbria,F,158790,Centro,3251,0.293961802145894,2.047358145978966
2021,Umbria,M,195459,Centro,5839,0.5279738427345049,2.9873272655646455
2021,Valle D'Aosta,F,24950,NordOvest,553,0.050003345612635926,2.216432865731463
2021,Valle D'Aosta,M,27791,NordOvest,777,0.07025786535446314,2.795869166276852
2021,Veneto,F,899756,NordEst,23804,2.1524044104216737,2.6456061421096386
2021,Veneto,M,1180769,NordEst,46731,4.225508759175569,3.957675040587956
2022,Abruzzo,F,195905,Sud,7105,0.5154571862204256,3.626757867333657
2022,Abruzzo,M,286944,Sud,8709,0.6318250013784218,3.0350869856139178
2022,Basilicata,F,69983,Sud,1651,0.11977759527796238,2.3591443636311675
2022,Basilicata,M,118778,Sud,2631,0.19087513820491764,2.2150566603243025
2022,Calabria,F,192999,Sud,3901,0.28301174995719636,2.0212539961346954
2022,Calabria,M,335975,Sud,6375,0.46249677159116304,1.8974626088250612
2022,Campania,F,579919,Sud,13730,0.9960910861092813,2.3675720229894175
2022,Campania,M,1061381,Sud,19693,1.4286978702658468,1.8554129007396967
2022,Emilia Romagna,F,898132,NordEst,30083,2.182476922317954,3.349507644756005
2022,Emilia Romagna,M,1103140,NordEst,51838,3.7607698267831697,4.6991315698823355
2022,Friuli Venezia Giulia,F,,NordEst,6858,0.49753770346230525,0.0
2022,Friuli Venezia Giulia,M,,NordEst,10029,0.7275890387902391,0.0
2022,Friuli-Venezia Giulia,F,230742,,0,0.0,0.0
2022,Friuli-Venezia Giulia,M,289775,,0,0.0,0.0
2022,Lazio,F,1020342,Centro,24936,1.8090697249250574,2.44388646159817
2022,Lazio,M,1300541,Centro,29475,2.1383674262979655,2.2663645359892537
2022,Liguria,F,266341,NordOvest,14115,1.024022263687728,5.299597132998675
2022,Liguria,M,349775,NordOvest,14209,1.0308418239276604,4.0623257808591235
2022,Lombardia,F,1927460,NordOvest,55907,4.055969726956416,2.9005530594668634
2022,Lombardia,M,2496936,NordOvest,76583,5.55598278568879,3.0670790120371527
2022,Marche,F,282538,Centro,7416,0.5380197738227552,2.6247796756542483
2022,Marche,M,356723,Centro,11482,0.8330020284564288,3.2187439553939616
2022,Molise,F,40793,Sud,998,0.07240341616438913,2.446498173706273
2022,Molise,M,62300,Sud,1432,0.1038894708891836,2.2985553772070624
2022,Piemonte,F,797062,NordOvest,25407,1.8432400746379103,3.18758139266456
2022,Piemonte,M,988256,NordOvest,29032,2.106228434954454,2.9377003529449857
2022,Puglia,F,453082,Sud,10726,0.7781553524842062,2.3673418939617994
2022,Puglia,M,813545,Sud,18874,1.3692806379626057,2.319970007805346
2022,Sardegna,F,238337,,0,0.0,0.0
2022,Sardegna,M,327814,,0,0.0,0.0
2022,Sicilia,F,482748,Sud,12604,0.9144014602564735,2.6108860109208116
2022,Sicilia,M,854269,Sud,20133,1.460619216069786,2.356751795979955
2022,Toscana,F,730298,Centro,22012,1.5969378723552439,3.0141120474107828
2022,Toscana,M,887415,Centro,31128,2.2582901186023094,3.5077162319771467
2022,Total,F,,Total,282783,20.515486205625702,0.0
2022,Total,M,,Total,406411,29.484513794374298,0.0
2022,Trentino Alto Adige,F,230103,NordEst,7088,0.5142238614961825,3.080359665019578
2022,Trentino Alto Adige,M,276217,NordEst,16046,1.1641134426591062,5.8092007371016265
2022,Umbria,F,157830,Centro,4198,0.30455865837485524,2.659823861116391
2022,Umbria,M,194468,Centro,6528,0.4735966941093509,3.356850484398462
2022,Valle D'Aosta,F,26050,NordOvest,761,0.05520941853817648,2.9213051823416505
2022,Valle D'Aosta,M,29114,NordOvest,908,0.06587404997721977,3.1187744727622446
2022,Veneto,F,928534,NordEst,33287,2.414922358581183,3.5848983451332956
2022,Veneto,M,1216827,NordEst,51306,3.72217401776568,4.216375869371735
2023,Abruzzo,F,212042,Sud,1860,0.4395001984839606,0.8771847086897879
2023,Abruzzo,M,290074,Sud,3129,0.7393527532560821,1.0786902652426622
2023,Basilicata,F,73520,Sud,639,0.1509895843178768,0.8691512513601741
2023,Basilicata,M,120655,Sud,1057,0.2497589837621217,0.8760515519456301
2023,Calabria,F,196407,Sud,1236,0.2920549706054706,0.6293054728191969
2023,Calabria,M,342776,Sud,2236,0.5283453998979225,0.6523210493150046
2023,Campania,F,589552,Sud,3157,0.7459688852762708,0.5354913561483974
2023,Campania,M,1094401,Sud,5877,1.38867885295174,0.5370060882619807
2023,Emilia Romagna,F,908128,NordEst,11249,2.6580310391107917,1.2387020331935588
2023,Emilia Romagna,M,1115022,NordEst,20488,4.841118315343755,1.8374525345688248
2023,Friuli Venezia Giulia,F,,NordEst,2516,0.5945067200998091,0.0
2023,Friuli Venezia Giulia,M,,NordEst,4062,0.9598117237859398,0.0
2023,Friuli-Venezia Giulia,F,231915,,0,0.0,0.0
2023,Friuli-Venezia Giulia,M,288001,,0,0.0,0.0
2023,Lazio,F,1037458,Centro,7001,1.654269295476456,0.6748224988385072
2023,Lazio,M,1337948,Centro,10116,2.3903139827224438,0.7560831960584418
2023,Liguria,F,280746,NordOvest,3071,0.7256479083571199,1.0938713285318402
2023,Liguria,M,352271,NordOvest,4943,1.1679835919925898,1.4031810736620387
2023,Lombardia,F,1978916,NordOvest,17176,4.058524413527154,0.867949928142478
2023,Lombardia,M,2521800,NordOvest,30413,7.186300826071341,1.2060036481878023
2023,Marche,F,284720,Centro,2441,0.5767849379028752,0.8573335206518685
2023,Marche,M,356387,Centro,4462,1.0543278955029205,1.252009753442185
2023,Molise,F,42427,Sud,278,0.06568873934330163,0.655243123482688
2023,Molise,M,63886,Sud,465,0.10987504962099015,0.7278589988416868
2023,Piemonte,F,798529,NordOvest,7389,1.7459499820419273,0.9253264439989031
2023,Piemonte,M,1002332,NordOvest,11089,2.6202245704239995,1.1063200616163107
2023,Puglia,F,469897,Sud,3887,0.9184608986597607,0.8272025571561428
2023,Puglia,M,822749,Sud,7421,1.753511275779286,0.9019761798555817
2023,Sardegna,F,247647,,0,0.0,0.0
2023,Sardegna,M,329062,,0,0.0,0.0
2023,Sicilia,F,516568,Sud,3763,0.8891608854274966,0.728461693329823
2023,Sicilia,M,894208,Sud,7036,1.6625394605016919,0.7868415402233037
2023,Toscana,F,728098,Centro,7230,1.7083798037844276,0.9929981952978857
2023,Toscana,M,899937,Centro,11957,2.8253246630498476,1.3286485609548224
2023,Total,F,,Total,77610,18.338500217387196,0.0
2023,Total,M,,Total,133994,31.661499782612804,0.0
2023,Trentino Alto Adige,F,231241,NordEst,2952,0.6975293472713181,1.276590224051963
2023,Trentino Alto Adige,M,276467,NordEst,6118,1.445624846411221,2.212922337928216
2023,Umbria,F,160107,Centro,1544,0.3648324228275458,0.9643550875352107
2023,Umbria,M,201489,Centro,2768,0.6540519082815069,1.3737722654834754
2023,Valle D'Aosta,F,26767,NordOvest,221,0.05222018487363188,0.8256435162700341
2023,Valle D'Aosta,M,30046,NordOvest,357,0.08435568325740535,1.1881781268721294
2023,Veneto,F,973871,,0,0.0,0.0
2023,Veneto,M,1251880,,0,0.0,0.0
2024,Abruzzo,F,,Sud,1726,0.3988999052439391,0.0
2024,Abruzzo,M,,Sud,3016,0.6970348286301972,0.0
2024,Basilicata,F,,Sud,605,0.13982296794471794,0.0
2024,Basilicata,M,,Sud,1052,0.243130185583212,0.0
2024,Calabria,F,,Sud,1314,0.3036816196353047,0.0
2024,Calabria,M,,Sud,2364,0.5463495805310962,0.0
2024,Campania,F,,Sud,2904,0.671150246134646,0.0
2024,Campania,M,,Sud,5922,1.3686472994522638,0.0
2024,Emilia Romagna,F,,NordEst,11712,2.706787769534771,0.0
2024,Emilia Romagna,M,,NordEst,20457,4.727865215281148,0.0
2024,Friuli Venezia Giulia,F,,NordEst,2563,0.5923409369294415,0.0
2024,Friuli Venezia Giulia,M,,NordEst,4091,0.9454805981187455,0.0
2024,Lazio,F,,Centro,6914,1.597910744412859,0.0
2024,Lazio,M,,Centro,10363,2.3950172178696065,0.0
2024,Liguria,F,,NordOvest,3050,0.7048926483163466,0.0
2024,Liguria,M,,NordOvest,4911,1.1349927199611731,0.0
2024,Lombardia,F,,NordOvest,17766,4.105941898356791,0.0
2024,Lombardia,M,,NordOvest,30694,7.093762277843259,0.0
2024,Marche,F,,Centro,2433,0.5622963322471053,0.0
2024,Marche,M,,Centro,4504,1.04092999607109,0.0
2024,Molise,F,,Sud,268,0.061938108114354386,0.0
2024,Molise,M,,Sud,522,0.12064064341676489,0.0
2024,Piemonte,F,,NordOvest,7611,1.7589960479789226,0.0
2024,Piemonte,M,,NordOvest,11606,2.6822898611014816,0.0
2024,Puglia,F,,Sud,4135,0.9556495412419977,0.0
2024,Puglia,M,,Sud,7684,1.775867249069773,0.0
2024,Sicilia,F,,Sud,3908,0.9031870392197647,0.0
2024,Sicilia,M,,Sud,7263,1.678568952367746,0.0
2024,Toscana,F,,Centro,7388,1.7074579953315308,0.0
2024,Toscana,M,,Centro,12554,2.9013843629388245,0.0
2024,Total,F,,Total,79467,18.365804617624626,0.0
2024,Total,M,,Total,136878,31.634195382375374,0.0
2024,Trentino Alto Adige,F,,NordEst,3268,0.7552751392451871,0.0
2024,Trentino Alto Adige,M,,NordEst,6693,1.5468349164528878,0.0
2024,Umbria,F,,Centro,1664,0.38457093993390185,0.0
2024,Umbria,M,,Centro,2821,0.651967921606693,0.0
2024,Valle D'Aosta,F,,NordOvest,238,0.05500473780304606,0.0
2024,Valle D'Aosta,M,,NordOvest,361,0.0834315560794102,0.0
