MacroRegione,Genere,AgeGroup,Condizione professionale europea,Year,Occupati,Nazionalità,FinalCount
Total,M,15+,occupati,2018,13282229,Non Italiano,104539
Total,M,15+,occupati,2018,13282229,Italiano,527163
Total,M,15+,occupati,2018,13282229,Non Italiano,209078
Total,M,15+,occupati,2018,13282229,Italiano,1054326
Total,M,15+,occupati,2019,13335637,Non Italiano,108082
Total,M,15+,occupati,2019,13335637,Italiano,523065
Total,M,15+,occupati,2019,13335637,Non Italiano,216164
Total,M,15+,occupati,2019,13335637,Italiano,1046130
Total,M,15+,occupati,2020,12987414,Non Italiano,99132
Total,M,15+,occupati,2020,12987414,Italiano,461805
Total,M,15+,occupati,2020,12987414,Non Italiano,198264
Total,M,15+,occupati,2020,12987414,Italiano,923610
Total,M,15+,occupati,2021,13043604,Non Italiano,102193
Total,M,15+,occupati,2021,13043604,Italiano,450770
Total,M,15+,occupati,2021,13043604,Non Italiano,204386
Total,M,15+,occupati,2021,13043604,Italiano,901540
Total,M,15+,occupati,2022,13350191,Non Italiano,122212
Total,M,15+,occupati,2022,13350191,Italiano,566982
Total,M,15+,occupati,2022,13350191,Non Italiano,244424
Total,M,15+,occupati,2022,13350191,Italiano,1133964
Total,F,15-64,occupati,2018,94897130,Non Italiano,104539
Total,F,15-64,occupati,2018,94897130,Italiano,527163
Total,F,15-64,occupati,2018,94897130,Non Italiano,209078
Total,F,15-64,occupati,2018,94897130,Italiano,1054326
Total,F,15-64,occupati,2019,95636300,Non Italiano,108082
Total,F,15-64,occupati,2019,95636300,Italiano,523065
Total,F,15-64,occupati,2019,95636300,Non Italiano,216164
Total,F,15-64,occupati,2019,95636300,Italiano,1046130
Total,F,15-64,occupati,2020,91799800,Non Italiano,99132
Total,F,15-64,occupati,2020,91799800,Italiano,461805
Total,F,15-64,occupati,2020,91799800,Non Italiano,198264
Total,F,15-64,occupati,2020,91799800,Italiano,923610
Total,F,15-64,occupati,2021,92904490,Non Italiano,102193
Total,F,15-64,occupati,2021,92904490,Italiano,450770
Total,F,15-64,occupati,2021,92904490,Non Italiano,204386
Total,F,15-64,occupati,2021,92904490,Italiano,901540
Total,F,15-64,occupati,2022,95281140,Non Italiano,122212
Total,F,15-64,occupati,2022,95281140,Italiano,566982
Total,F,15-64,occupati,2022,95281140,Non Italiano,244424
Total,F,15-64,occupati,2022,95281140,Italiano,1133964
Total,F,15+,occupati,2018,96765020,Non Italiano,104539
Total,F,15+,occupati,2018,96765020,Italiano,527163
Total,F,15+,occupati,2018,96765020,Non Italiano,209078
Total,F,15+,occupati,2018,96765020,Italiano,1054326
Total,F,15+,occupati,2019,97737670,Non Italiano,108082
Total,F,15+,occupati,2019,97737670,Italiano,523065
Total,F,15+,occupati,2019,97737670,Non Italiano,216164
Total,F,15+,occupati,2019,97737670,Italiano,1046130
Total,F,15+,occupati,2020,93978440,Non Italiano,99132
Total,F,15+,occupati,2020,93978440,Italiano,461805
Total,F,15+,occupati,2020,93978440,Non Italiano,198264
Total,F,15+,occupati,2020,93978440,Italiano,923610
Total,F,15+,occupati,2021,95103520,Non Italiano,102193
Total,F,15+,occupati,2021,95103520,Italiano,450770
Total,F,15+,occupati,2021,95103520,Non Italiano,204386
Total,F,15+,occupati,2021,95103520,Italiano,901540
Total,F,15+,occupati,2022,97491980,Non Italiano,122212
Total,F,15+,occupati,2022,97491980,Italiano,566982
Total,F,15+,occupati,2022,97491980,Non Italiano,244424
Total,F,15+,occupati,2022,97491980,Italiano,1133964
Total,M,15-64,occupati,2018,12842900,Non Italiano,104539
Total,M,15-64,occupati,2018,12842900,Italiano,527163
Total,M,15-64,occupati,2018,12842900,Non Italiano,209078
Total,M,15-64,occupati,2018,12842900,Italiano,1054326
Total,M,15-64,occupati,2019,12879085,Non Italiano,108082
Total,M,15-64,occupati,2019,12879085,Italiano,523065
Total,M,15-64,occupati,2019,12879085,Non Italiano,216164
Total,M,15-64,occupati,2019,12879085,Italiano,1046130
Total,M,15-64,occupati,2020,12541037,Non Italiano,99132
Total,M,15-64,occupati,2020,12541037,Italiano,461805
Total,M,15-64,occupati,2020,12541037,Non Italiano,198264
Total,M,15-64,occupati,2020,12541037,Italiano,923610
Total,M,15-64,occupati,2021,12558748,Non Italiano,102193
Total,M,15-64,occupati,2021,12558748,Italiano,450770
Total,M,15-64,occupati,2021,12558748,Non Italiano,204386
Total,M,15-64,occupati,2021,12558748,Italiano,901540
Total,M,15-64,occupati,2022,12884366,Non Italiano,122212
Total,M,15-64,occupati,2022,12884366,Italiano,566982
Total,M,15-64,occupati,2022,12884366,Non Italiano,244424
Total,M,15-64,occupati,2022,12884366,Italiano,1133964
NordEst,M,15-64,occupati,2018,2760065,Non Italiano,45495
NordEst,M,15-64,occupati,2018,2760065,Italiano,159445
NordEst,M,15-64,occupati,2019,2792127,Non Italiano,46523
NordEst,M,15-64,occupati,2019,2792127,Italiano,157781
NordEst,M,15-64,occupati,2020,2735636,Non Italiano,40400
NordEst,M,15-64,occupati,2020,2735636,Italiano,137148
NordEst,M,15-64,occupati,2021,2720968,Non Italiano,44226
NordEst,M,15-64,occupati,2021,2720968,Italiano,138898
NordEst,M,15-64,occupati,2022,2776097,Non Italiano,50059
NordEst,M,15-64,occupati,2022,2776097,Italiano,156476
NordOvest,M,15-64,occupati,2018,3737461,Non Italiano,34893
NordOvest,M,15-64,occupati,2018,3737461,Italiano,155286
NordOvest,M,15-64,occupati,2019,3752896,Non Italiano,36333
NordOvest,M,15-64,occupati,2019,3752896,Italiano,153791
NordOvest,M,15-64,occupati,2020,3625277,Non Italiano,37651
NordOvest,M,15-64,occupati,2020,3625277,Italiano,149043
NordOvest,M,15-64,occupati,2021,3633553,Non Italiano,34629
NordOvest,M,15-64,occupati,2021,3633553,Italiano,133604
NordOvest,M,15-64,occupati,2022,3740598,Non Italiano,43649
NordOvest,M,15-64,occupati,2022,3740598,Italiano,173273
NordOvest,F,15-64,occupati,2018,295149,Non Italiano,34893
NordOvest,F,15-64,occupati,2018,295149,Italiano,155286
NordOvest,F,15-64,occupati,2019,2978251,Non Italiano,36333
NordOvest,F,15-64,occupati,2019,2978251,Italiano,153791
NordOvest,F,15-64,occupati,2020,288347,Non Italiano,37651
NordOvest,F,15-64,occupati,2020,288347,Italiano,149043
NordOvest,F,15-64,occupati,2021,2912746,Non Italiano,34629
NordOvest,F,15-64,occupati,2021,2912746,Italiano,133604
NordOvest,F,15-64,occupati,2022,2954702,Non Italiano,43649
NordOvest,F,15-64,occupati,2022,2954702,Italiano,173273
NordEst,F,15-64,occupati,2018,2216571,Non Italiano,45495
NordEst,F,15-64,occupati,2018,2216571,Italiano,159445
NordEst,F,15-64,occupati,2019,2244083,Non Italiano,46523
NordEst,F,15-64,occupati,2019,2244083,Italiano,157781
NordEst,F,15-64,occupati,2020,2145346,Non Italiano,40400
NordEst,F,15-64,occupati,2020,2145346,Italiano,137148
NordEst,F,15-64,occupati,2021,217292,Non Italiano,44226
NordEst,F,15-64,occupati,2021,217292,Italiano,138898
NordEst,F,15-64,occupati,2022,2238819,Non Italiano,50059
NordEst,F,15-64,occupati,2022,2238819,Italiano,156476
NordOvest,M,15+,occupati,2018,3862543,Non Italiano,34893
NordOvest,M,15+,occupati,2018,3862543,Italiano,155286
NordOvest,M,15+,occupati,2019,3886123,Non Italiano,36333
NordOvest,M,15+,occupati,2019,3886123,Italiano,153791
NordOvest,M,15+,occupati,2020,3752789,Non Italiano,37651
NordOvest,M,15+,occupati,2020,3752789,Italiano,149043
NordOvest,M,15+,occupati,2021,377081,Non Italiano,34629
NordOvest,M,15+,occupati,2021,377081,Italiano,133604
NordOvest,M,15+,occupati,2022,3864081,Non Italiano,43649
NordOvest,M,15+,occupati,2022,3864081,Italiano,173273
NordEst,M,15+,occupati,2018,2863361,Non Italiano,45495
NordEst,M,15+,occupati,2018,2863361,Italiano,159445
NordEst,M,15+,occupati,2019,2897444,Non Italiano,46523
NordEst,M,15+,occupati,2019,2897444,Italiano,157781
NordEst,M,15+,occupati,2020,2836607,Non Italiano,40400
NordEst,M,15+,occupati,2020,2836607,Italiano,137148
NordEst,M,15+,occupati,2021,283231,Non Italiano,44226
NordEst,M,15+,occupati,2021,283231,Italiano,138898
NordEst,M,15+,occupati,2022,2885959,Non Italiano,50059
NordEst,M,15+,occupati,2022,2885959,Italiano,156476
Centro,M,15-64,occupati,2018,2620414,Non Italiano,17488
Centro,M,15-64,occupati,2018,2620414,Italiano,105855
Centro,M,15-64,occupati,2019,2622496,Non Italiano,18628
Centro,M,15-64,occupati,2019,2622496,Italiano,105942
Centro,M,15-64,occupati,2020,2562728,Non Italiano,15457
Centro,M,15-64,occupati,2020,2562728,Italiano,87035
Centro,M,15-64,occupati,2021,2560975,Non Italiano,17140
Centro,M,15-64,occupati,2021,2560975,Italiano,89691
Centro,M,15-64,occupati,2022,2634145,Non Italiano,21182
Centro,M,15-64,occupati,2022,2634145,Italiano,115993
Centro,F,15-64,occupati,2018,2121395,Non Italiano,17488
Centro,F,15-64,occupati,2018,2121395,Italiano,105855
Centro,F,15-64,occupati,2019,2134194,Non Italiano,18628
Centro,F,15-64,occupati,2019,2134194,Italiano,105942
Centro,F,15-64,occupati,2020,2046289,Non Italiano,15457
Centro,F,15-64,occupati,2020,2046289,Italiano,87035
Centro,F,15-64,occupati,2021,2056406,Non Italiano,17140
Centro,F,15-64,occupati,2021,2056406,Italiano,89691
Centro,F,15-64,occupati,2022,2135463,Non Italiano,21182
Centro,F,15-64,occupati,2022,2135463,Italiano,115993
NordEst,F,15+,occupati,2018,2260143,Non Italiano,45495
NordEst,F,15+,occupati,2018,2260143,Italiano,159445
NordEst,F,15+,occupati,2019,2290556,Non Italiano,46523
NordEst,F,15+,occupati,2019,2290556,Italiano,157781
NordEst,F,15+,occupati,2020,219745,Non Italiano,40400
NordEst,F,15+,occupati,2020,219745,Italiano,137148
NordEst,F,15+,occupati,2021,2224038,Non Italiano,44226
NordEst,F,15+,occupati,2021,2224038,Italiano,138898
NordEst,F,15+,occupati,2022,2287512,Non Italiano,50059
NordEst,F,15+,occupati,2022,2287512,Italiano,156476
Centro,M,15+,occupati,2018,2720411,Non Italiano,17488
Centro,M,15+,occupati,2018,2720411,Italiano,105855
Centro,M,15+,occupati,2019,27222,Non Italiano,18628
Centro,M,15+,occupati,2019,27222,Italiano,105942
Centro,M,15+,occupati,2020,2664587,Non Italiano,15457
Centro,M,15+,occupati,2020,2664587,Italiano,87035
Centro,M,15+,occupati,2021,2674047,Non Italiano,17140
Centro,M,15+,occupati,2021,2674047,Italiano,89691
Centro,M,15+,occupati,2022,2739146,Non Italiano,21182
Centro,M,15+,occupati,2022,2739146,Italiano,115993
Sud,F,15-64,occupati,2018,2200257,Non Italiano,6663
Sud,F,15-64,occupati,2018,2200257,Italiano,106577
Sud,F,15-64,occupati,2019,2207101,Non Italiano,6598
Sud,F,15-64,occupati,2019,2207101,Italiano,105551
Sud,F,15-64,occupati,2020,2104876,Non Italiano,5624
Sud,F,15-64,occupati,2020,2104876,Italiano,88579
Sud,F,15-64,occupati,2021,2148377,Non Italiano,6198
Sud,F,15-64,occupati,2021,2148377,Italiano,88577
Sud,F,15-64,occupati,2022,219913,Non Italiano,7322
Sud,F,15-64,occupati,2022,219913,Italiano,121240
Sud,M,15+,occupati,2018,3835914,Non Italiano,6663
Sud,M,15+,occupati,2018,3835914,Italiano,106577
Sud,M,15+,occupati,2019,382987,Non Italiano,6598
Sud,M,15+,occupati,2019,382987,Italiano,105551
Sud,M,15+,occupati,2020,3733431,Non Italiano,5624
Sud,M,15+,occupati,2020,3733431,Italiano,88579
Sud,M,15+,occupati,2021,3766436,Non Italiano,6198
Sud,M,15+,occupati,2021,3766436,Italiano,88577
Sud,M,15+,occupati,2022,3861005,Non Italiano,7322
Sud,M,15+,occupati,2022,3861005,Italiano,121240
NordOvest,F,15+,occupati,2018,3002792,Non Italiano,34893
NordOvest,F,15+,occupati,2018,3002792,Italiano,155286
NordOvest,F,15+,occupati,2019,3034379,Non Italiano,36333
NordOvest,F,15+,occupati,2019,3034379,Italiano,153791
NordOvest,F,15+,occupati,2020,2943136,Non Italiano,37651
NordOvest,F,15+,occupati,2020,2943136,Italiano,149043
NordOvest,F,15+,occupati,2021,2976347,Non Italiano,34629
NordOvest,F,15+,occupati,2021,2976347,Italiano,133604
NordOvest,F,15+,occupati,2022,3016913,Non Italiano,43649
NordOvest,F,15+,occupati,2022,3016913,Italiano,173273
Centro,F,15+,occupati,2018,2164381,Non Italiano,17488
Centro,F,15+,occupati,2018,2164381,Italiano,105855
Centro,F,15+,occupati,2019,2186161,Non Italiano,18628
Centro,F,15+,occupati,2019,2186161,Italiano,105942
Centro,F,15+,occupati,2020,2098847,Non Italiano,15457
Centro,F,15+,occupati,2020,2098847,Italiano,87035
Centro,F,15+,occupati,2021,2108793,Non Italiano,17140
Centro,F,15+,occupati,2021,2108793,Italiano,89691
Centro,F,15+,occupati,2022,2191008,Non Italiano,21182
Centro,F,15+,occupati,2022,2191008,Italiano,115993
Sud,F,15+,occupati,2018,2249186,Non Italiano,6663
Sud,F,15+,occupati,2018,2249186,Italiano,106577
Sud,F,15+,occupati,2019,2262671,Non Italiano,6598
Sud,F,15+,occupati,2019,2262671,Italiano,105551
Sud,F,15+,occupati,2020,2158411,Non Italiano,5624
Sud,F,15+,occupati,2020,2158411,Italiano,88579
Sud,F,15+,occupati,2021,2201174,Non Italiano,6198
Sud,F,15+,occupati,2021,2201174,Italiano,88577
Sud,F,15+,occupati,2022,2253765,Non Italiano,7322
Sud,F,15+,occupati,2022,2253765,Italiano,121240
Sud,M,15-64,occupati,2018,3724961,Non Italiano,6663
Sud,M,15-64,occupati,2018,3724961,Italiano,106577
Sud,M,15-64,occupati,2019,3711566,Non Italiano,6598
Sud,M,15-64,occupati,2019,3711566,Italiano,105551
Sud,M,15-64,occupati,2020,3617396,Non Italiano,5624
Sud,M,15-64,occupati,2020,3617396,Italiano,88579
Sud,M,15-64,occupati,2021,3643252,Non Italiano,6198
Sud,M,15-64,occupati,2021,3643252,Italiano,88577
Sud,M,15-64,occupati,2022,3733527,Non Italiano,7322
Sud,M,15-64,occupati,2022,3733527,Italiano,121240
